Car_id,Date,Customer Name,Gender,Annual Income,Dealer_Name,Company,Model,Price ($),Engine_Cylinder,Engine_Horsepower,City MPG,Highway MPG,Popularity,Market_Category,Gas_Types,Engine,Transmission,Color,Dealer_No,Body Style,Phone,Dealer_Region
C_CND_017311,9/1/2023,Justine,Male,753000,Scrivener Performance Engineering,Plymouth,Prowler,71001,4,100,22,29,535,N/A,regular unleaded,Overhead Camshaft,Manual,Pale White,38701-8047,Hatchback,6319698,Greenville
C_CND_017312,9/1/2023,Jenny,Female,780000,Suburban Ford,Volkswagen,Beetle,45000,4,170,24,32,873,N/A,regular unleaded,DoubleÂ Overhead Camshaft,Auto,Pale White,53546-9427,SUV,8685907,Janesville
C_CND_017313,9/1/2023,Romane,Female,13500,Suburban Ford,Buick,LeSabre,20001,4,200,20,27,155,N/A,premium unleaded (recommended),Overhead Camshaft,Manual,Black,53546-9427,Sedan,7998138,Janesville
C_CND_017314,9/1/2023,Marion,Male,2200000,Tri-State Mack Inc,Audi,A6,24001,6,172,16,22,3105,Luxury,regular unleaded,Overhead Camshaft,Manual,Pale White,85257-3102,SUV,8375103,Scottsdale
C_CND_017315,9/1/2023,Klervi,Male,13500,U-Haul CO,Honda,CR-V,31001,6,271,17,25,2202,"Crossover,Hatchback",regular unleaded,DoubleÂ Overhead Camshaft,Auto,Black,78758-7841,SUV,8793690,Austin
C_CND_017316,9/1/2023,Soules,Male,1920000,Buddy Storbeck's Diesel Service Inc,Chrysler,LHS,20001,4,184,23,36,1013,Flex Fuel,flex-fuel (unleaded/E85),DoubleÂ Overhead Camshaft,Auto,Pale White,06457-3834,Hatchback,7010530,Middletown
C_CND_017317,9/1/2023,Maly,Female,13500,C & M Motors Inc,Saturn,LW,18001,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DoubleÂ Overhead Camshaft,Auto,Pale White,60504-7114,Hatchback,8990187,Aurora
C_CND_017318,9/1/2023,Helene,Female,1930000,Capitol KIA,Nissan,Frontier,53001,4,115,26,36,2009,N/A,regular unleaded,Overhead Camshaft,Manual,Black,38701-8047,Hatchback,6633906,Greenville
C_CND_017319,9/1/2023,Riya,Male,310000,Hatfield Volkswagen,Subaru,Forester,22000,6,250,16,21,640,Crossover,premium unleaded (required),DoubleÂ Overhead Camshaft,Auto,Black,99301-3882,SUV,8362067,Pasco
C_CND_017320,9/1/2023,Sylvia,Male,13500,Race Car Help,Lexus,ES300,34000,4,134,43,40,454,"Hatchback,Luxury,Hybrid",regular unleaded,Overhead Camshaft,Manual,Black,78758-7841,SUV,6807561,Austin
C_CND_017321,9/1/2023,Lea,Male,13500,Classic Chevy,Jeep,Wrangler,19001,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,Not Found,DoubleÂ Overhead Camshaft,Auto,Pale White,85257-3102,Hatchback,6225810,Scottsdale
C_CND_017322,9/1/2023,Brianna,Male,1100000,Hatfield Volkswagen,Audi,A4,12000,6,172,16,22,3105,Luxury,regular unleaded,Overhead Camshaft,Manual,Pale White,99301-3882,SUV,8479828,Pasco
